Response ID,Start language,Are you familiar with Open Science?,Are you involved in some of the following Open Science  activities such as: [sharing a research manuscript as a preprint],Are you involved in some of the following Open Science  activities such as: [publishing a paper or monograph/book as Open Access],"Are you involved in some of the following Open Science  activities such as: [pre-registration of the study design, methods, hypothesis, etc. prior to commencing the research]","Are you involved in some of the following Open Science  activities such as: [open or FAIR (Findable, Accessible, Interoperable, Reusable) data management and sharing (for research data, software, models, algorithms, workflows etc.)]",Are you involved in some of the following Open Science  activities such as: [participation in open peer review (being reviewed or the reviewer)],"Are you involved in some of the following Open Science  activities such as: [outreach and public engagement in science, including citizen (or community) science]",Are you involved in some of the following Open Science  activities such as: [collaboration via virtual research environments/virtual laboratories],Are you involved in some of the following Open Science  activities such as: [none of the above],"Are you involved in any other Open Science activities that you would like to mention? If yes, please specify.","Are you familiar with the FAIR (Findable, Accessible, Interoperable, and Reusable) principles (defined here )?",Are you involved in some steps of data FAIRification process such as those referred to here ? ,Specify which ones?,Does your institute /organisation have policies on various Open Science activities?,"Could you please specify briefly what kind of policy and provide a link to any relevant one, if possible?","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Sharing a research manuscript as a preprint]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Publishing a paper or monograph/book as Open Access]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Pre-registration of the study design, methods, hypothesis, etc. prior to commencing the research]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Open or FAIR (Findable, Accessible, Interoperable, Reusable) data management and sharing (for research data, software, models, algorithms, workflows etc.)]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Participation in open peer review (being reviewed or the reviewer)]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Participation in public engagement, including citizen (or community) science]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Collaboration via virtual research environments/virtual laboratories ]",Does your institute/organisation have any initiative or tool which gives credits/rewards for Open Science activities?,You’re welcome to point here to any document/link/contact to know more about it.,How would you want the previously mentioned Open Science activities to be rewarded ?,Suggested rewards categorised according to SHARC's rewarding terminology,Main position/job title: which of the following are you now?,Main position/job title: which of the following are you now? [Comment],Please select the type of organisation you are primarily affiliated with:,Please select the type of organisation you are primarily affiliated with: [Comment],Which country do you work in?,"What are your main disciplinary fields (up to 3; e.g., computer science, physics, biology, medicine)?",How long have you been working in your field?,Would you have anything else you think is relevant to mention?,Your gender:
2,es,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Yes,No,,Yes,,Definitely,Definitely,Very Probably,Definitely,Definitely,Very Probably,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,NGO / NPO,,Uruguay,Human Rights; Digital Rights; Intellectual Property,5-10 years,,Femenino
5,es,Yes,No,Yes,No,No,No,Yes,No,No,,Yes,No,,Yes,,Very Probably,Definitely,Possibly,Definitely,Possibly,Definitely,Possibly,No,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities,"Other, please specify in the comment box",,Government agency,,Uruguay,Information Science; Science communication,5-10 years,,M
7,es,No,No,Yes,Yes,No,No,No,No,No,,No,N/A,,No,,No opinion,Very Probably,Very Probably,Definitely,Possibly,Possibly,Possibly,No,,,authorship/contributorship; OS indicators in research evaluation and/or career progression processes,"Graduate student (Master, PhD)",,University,,Uruguay,Biology,< 5 years,,-
8,es,Yes,Yes,Yes,No,No,Yes,Yes,No,No,,No,N/A,,No,,Probably Not,Probably Not,No opinion,Possibly,Possibly,Probably Not,Definitely No,No,,,financial contribution to reviewers of OA journals,Professor,,University,,Uruguay,Environment; Oceanography; Marine Ecology,> 20 years,,masculino
9,es,No,No,No,No,No,No,Yes,No,No,,No,N/A,,Yes,,Probably Not,Definitely,Probably Not,Probably Not,Very Probably,Definitely,Possibly,No,,,"acknowledgement/citation; contribution to ‘good’ science, research quality and integrity",Researcher,,University,,Uruguay,Biology; Palaeontology; Ecology,10-20 years,,mujer
16,es,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,Yes,No,,No,,Probably Not,Probably Not,Probably Not,Probably Not,Probably Not,Possibly,Probably Not,No,,," contribution to ‘good’ science, research quality and integrity",Professor,,University,,Uruguay,Multidisciplinary Geosciences; Physical Geography; Geoarchaeology,> 20 years,,femenino
17,es,Yes,No,Yes,No,Yes,No,Yes,No,No,,No,N/A,,No,,Possibly,Very Probably,No opinion,Probably Not,Probably Not,Very Probably,No opinion,No,,,OS indicators in research evaluation and/or career progression processes,Professor,,University,,Uruguay,Biology; Ecology; Zoology,> 20 years,,masculino
19,es,Yes,Yes,Yes,No,No,Yes,Yes,No,No,,No,N/A,,Yes,,Very Probably,Definitely,Possibly,Definitely,Possibly,Definitely,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Professor,,University,,Uruguay,Biology; Cell and Molecular Biology; Developmental Biology; Neurosciences,> 20 years,,Masculino
20,ko,Yes,Yes,Yes,No,Yes,No,No,No,No,,Yes,No,,Yes,,Possibly,Definitely,Very Probably,Very Probably,Possibly,Possibly,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Data specialist,,Research institute,,"Korea, Rep.",Computer Science,10-20 years,,M
21,es,No,No,No,No,No,No,No,No,Yes,,No,N/A,,No,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,No,,,"funding/grants for OS activities; capacity building for OS (e.g., training, raising awareness, provision of IT tools)",Professor,,University,,Uruguay,Environmental and Agricultural Microbiology,10-20 years,,Mujer
